Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8722,1518,1518,1166.228,25.707,0.164,1283,1312,1239,1272,53,61,1292.748,1255.707,58.561
8723,873,873,898.058,28.234,0.119,1955,1993,1245,1272,54,61,1968.170,1258.394,58.064
8724,218,218,344.808,13.665,0.131,1761,1778,1257,1273,55,60,1769.693,1264.688,56.651
8725,598,598,619.983,19.810,0.170,1551,1564,1247,1277,56,61,1557.416,1260.585,58.607
8726,995,995,694.336,17.703,0.334,64,88,1263,1280,52,61,73.849,1273.734,57.765
8727,164,164,199.130,9.177,0.385,1020,1027,1277,1285,50,61,1022.732,1280.646,56.079
8728,1049,1049,708.085,18.451,0.351,1277,1296,1264,1283,52,61,1284.824,1273.542,57.688
8729,55,55,93.369,6.456,0.420,221,230,1279,1284,56,61,224.127,1280.745,57.964
8730,53,53,98.289,7.196,0.335,528,535,1283,1293,56,60,530.887,1287.377,57.717
8731,175,175,208.926,10.192,0.380,1836,1850,1281,1290,55,61,1843.954,1284.166,57.480
8732,2911,2911,1618.873,28.340,0.226,937,971,1277,1308,52,61,952.512,1290.732,57.861
8733,136,136,210.187,9.834,0.225,1731,1743,1291,1301,55,59,1736.890,1295.750,57.478
8734,234,234,217.824,9.587,0.599,1280,1286,1294,1307,54,61,1281.808,1299.859,57.282
8735,1687,1687,1379.780,30.830,0.123,1856,1888,1287,1330,55,61,1869.474,1310.628,58.605
8736,198,198,235.094,10.182,0.341,1961,1970,1328,1343,55,61,1964.990,1335.278,57.823
8737,3552,3552,1938.049,36.232,0.196,1262,1281,1321,1383,51,61,1273.384,1347.385,57.509
8738,208,208,271.420,11.643,0.245,1872,1885,1327,1339,55,61,1878.394,1331.822,58.091
8739,13096,13096,7616.498,65.328,0.044,1883,1967,1290,1365,50,61,1929.839,1332.537,58.206
8740,5289,5289,3477.018,51.462,0.075,464,507,1309,1374,54,61,485.426,1343.202,58.482
8741,2544,2544,1864.536,36.692,0.113,2014,2048,1375,1423,51,61,2037.168,1400.183,57.730
8742,1962,1962,1472.954,28.870,0.136,1374,1409,1394,1422,52,61,1390.452,1405.056,58.389
8743,2507,2507,1646.425,34.239,0.159,1310,1354,1399,1447,53,61,1332.389,1424.702,58.212
8744,1933,1933,1483.104,30.940,0.130,1415,1455,1451,1486,54,61,1438.736,1473.379,58.497
8745,655,655,505.687,15.813,0.375,475,495,1481,1496,54,61,484.440,1488.440,57.464
8746,438,438,444.700,17.475,0.247,255,262,1485,1517,55,61,257.226,1499.158,58.411
8747,162,162,244.650,13.447,0.203,455,475,1494,1503,56,61,462.241,1497.500,58.080
8748,958,958,670.214,18.042,0.345,492,513,1482,1503,54,61,503.803,1493.731,58.069
8749,358,358,321.016,11.501,0.438,1791,1805,1514,1527,54,61,1795.751,1520.626,58.310
8750,3483,3483,2229.879,33.637,0.124,910,947,1495,1537,51,61,927.925,1520.116,58.018
8751,456,456,392.348,14.158,0.389,854,871,1526,1537,54,61,860.557,1532.441,57.621
8752,1,1,3.004,0.751,4.172,1779,1780,1536,1537,58,59,1779.000,1536.000,58.000
8753,37,37,64.424,5.436,0.579,1123,1131,1537,1542,56,60,1126.946,1539.135,57.622
8754,619,619,539.573,16.614,0.276,853,873,1533,1551,55,61,863.893,1542.284,58.150
8755,796,796,617.964,16.798,0.304,1459,1479,1538,1559,55,61,1467.837,1546.496,58.565
8756,3199,3199,1740.332,29.490,0.220,1965,1994,1540,1579,51,61,1977.063,1558.976,57.410
8757,1362,1362,921.452,20.123,0.268,1451,1472,1547,1577,54,61,1459.406,1560.528,58.239
8758,731,731,568.622,15.950,0.329,1271,1290,1550,1568,53,61,1279.477,1559.245,57.973
8759,93,93,148.632,8.361,0.298,652,658,1560,1574,56,60,653.903,1566.892,57.548
8760,1233,1233,982.622,21.339,0.181,516,545,1594,1620,54,61,526.886,1609.363,58.446
8761,241,241,332.913,14.922,0.178,1197,1212,1592,1612,55,60,1204.539,1603.129,57.340
